CHROM	POS	informativeness	normalized_Inf
chr01	89799	0.15592684751136335	0.09688279759455952
chr01	89819	0.02001486318313834	0.012435933706114843
chr01	89838	0.02626119069008931	0.01631699519888413
chr01	89847	0.017352979311769032	0.01078201226509231
chr01	89878	0.1340718156154915	0.08330350278173976
chr01	89879	0.1340718156154915	0.08330350278173976
chr01	89892	0.254172530531383	0.1579262726245678
chr01	89924	0.008264017895755572	0.00513472301845875
chr01	89925	0.15602556885938912	0.09694413661687475
chr01	89938	0.026302911094952988	0.0163429175439099
chr01	89944	0.1340718156154915	0.08330350278173976
chr01	263171	0.004945708588856932	0.003072941522408332
chr01	263173	0.10178356117083959	0.06324168231932786
chr01	263185	0.13749243158971564	0.08542885098423787
chr01	263187	0.01327376946933699	0.008247456684589873
chr01	263201	0.1189524318897397	0.0739093014839181
chr01	263207	0.01611711783786684	0.010014128357080545
chr01	263211	0.030705969914648357	0.019078691807507448
chr01	263213	0.17800806951590387	0.11060263222374697
chr01	263240	0.16486226789425484	0.10243468643342603
chr01	263242	0.014338105410538746	0.008908765786965908
chr01	263243	0.01327376946933699	0.008247456684589873
chr01	263247	0.01327376946933699	0.008247456684589873
chr01	263251	0.1780080695159038	0.11060263222374693
chr01	263259	0.13749243158971564	0.08542885098423787
chr01	263277	0.03528686543799178	0.021924962227728453
chr01	263301	0.01483175591000481	0.009215488087746975
chr01	263307	0.06223124740052126	0.03866644803116589
chr01	263314	0.01327376946933699	0.008247456684589873
chr01	263317	0.07102209448211089	0.04412850842732894
chr01	263318	0.3620173731727937	0.22493404086976035
chr01	263320	0.016117117837866846	0.01001412835708055
chr01	329365	0.16511205481088004	0.10258988777092119
chr01	329366	0.1864535372583964	0.11585009637085388
chr01	329372	0.021850421456432095	0.013576430185732175
chr01	329400	0.06138230843006172	0.038138972591510306
chr01	329439	0.11710114684262282	0.07275903341031655
chr01	329442	0.027398879083948335	0.017023880742631756
chr01	329449	0.016298485666452145	0.010126818524985814
chr01	329466	0.16484981506574442	0.10242694905603843
chr01	329490	0.1864535372583963	0.11585009637085382
chr01	329501	0.14671882432603592	0.09116153111128071
chr01	329522	0.07113005457794222	0.044195587806407345
chr01	438216	0.015620482499910111	0.00970555147187121
chr01	438223	0.014413137240336792	0.008955385684023365
chr01	438226	0.007274195151689068	0.004519711568548573
chr01	438227	0.18164576757208412	0.11286286110743135
chr01	438230	0.007274195151689068	0.004519711568548573
chr01	438231	0.1512183097803542	0.09395721861159148
chr01	438249	0.015620482499910111	0.00970555147187121
chr01	438254	0.007274195151689068	0.004519711568548573
chr01	438255	0.007274195151689068	0.004519711568548573
chr01	438264	0.1683447169979095	0.10459845371935249
chr01	438267	0.17648683921182334	0.109657438692311
chr01	438269	0.041320734950747715	0.025674016146577897
chr01	438273	0.01834190991156201	0.011396469394598678
chr01	438276	0.024778189652289964	0.015395554846111237
chr01	438290	0.011794142885464078	0.007328112997926534
chr01	438305	0.014413137240336785	0.00895538568402336
chr01	438314	0.014631427817795466	0.00909101724568363
chr01	438337	0.007274195151689068	0.004519711568548573
chr01	438345	0.007274195151689068	0.004519711568548573
chr01	438346	0.007274195151689068	0.004519711568548573
chr01	438350	0.036518696302229176	0.022690341777147904
chr01	438353	0.007274195151689068	0.004519711568548573
chr01	438359	0.09545375728247123	0.059308754034573336
chr01	438368	0.17001696253031548	0.10563747828779754
chr01	438369	0.022200933440505166	0.013794215526418576
chr01	438376	0.18164576757208412	0.11286286110743135
chr01	438380	0.009105629054297862	0.005657645432576262
chr01	438385	0.10549966979615352	0.0655506304288537
chr01	438391	0.006268989564094569	0.0038951422205615884
chr01	438398	0.007274195151689068	0.004519711568548573
chr01	438399	0.06609524976327835	0.041067287686367755
chr01	544312	0.06429051041947757	0.039945940084290144
chr01	544317	0.5011289918379157	0.31136894934953563
chr01	544364	0.06429051041947757	0.039945940084290144
chr01	544401	0.019809541027529687	0.012308359877996104
chr01	544405	0.07721512772920368	0.04797645633463684
chr01	544425	0.11439289585607715	0.07107630246082018
chr01	544427	0.43093590050863384	0.2677555295419194
chr01	544431	0.011365462715380789	0.007061759032500831
chr01	544433	0.18423863629942228	0.11447390102845367
chr01	544434	0.05544682722261629	0.0344510507639024
chr01	544443	0.1396584026597755	0.08677464447731154
chr01	544444	0.11439289585607715	0.07107630246082018
chr01	544449	0.01646524280959607	0.010230430563608494
chr01	544455	0.017069499343617157	0.010605876257631704
chr01	544456	0.07723837007619658	0.04799089761678468
chr01	544460	0.0350799144885076	0.021796376373073648
chr01	544464	0.11439289585607715	0.07107630246082018
chr01	544465	0.16702703420719087	0.10377973136881098
chr01	544471	0.011365462715380789	0.007061759032500831
chr01	627187	0.1506570953358026	0.0936085164714121
chr01	627193	0.007442385676176878	0.004624214217074753
chr01	627221	0.01683817743294929	0.01046214787340468
chr01	627235	0.007442385676176878	0.004624214217074753
chr01	627239	0.013266172986414075	0.00824273672437008
chr01	627245	0.018341909911562003	0.011396469394598673
chr01	627251	0.6499401917315012	0.4038305464971539
chr01	627256	0.01876978329245184	0.01166232207371366
chr01	627278	0.18414557477678348	0.11441607865337487
chr01	627322	0.14108813755748714	0.08766298871641878
chr01	627339	0.013553237410869078	0.008421099879753221
chr01	737601	0.17316407421959976	0.10759288872331078
chr01	737620	0.17316407421959976	0.10759288872331078
chr01	737621	0.016286673408453647	0.010119479156435317
chr01	737628	0.013571876223509215	0.00843268082518525
chr01	737637	0.1731640742195997	0.10759288872331074
chr01	737641	0.02701280526092935	0.016783999589071074
